epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
126,503900,1239.269208,1243.052922,-1152.539756,1146.2096,1146.2748,28348.0370,25457.5328,0.0000,0.0000,117756.06,1001.0,100,41,504000,98.7
127,507900,1592.973469,1590.219545,-1164.404663,1157.5289,1157.4861,22276.3120,21756.4586,0.0000,0.0000,,,0,0,508000,99.4
128,511900,1539.612664,1540.957483,-1172.580444,1167.7958,1167.8219,25787.2092,25370.5696,0.0000,0.0000,,,0,0,512000,100.3
129,515900,1217.810832,1216.089115,-1187.517456,1180.5962,1180.5883,38337.9241,37723.6447,0.0000,0.0000,,,0,0,516000,101.1
130,519900,,,,,,,,,,,,0,0,520000,101.7
131,523900,1448.171810,1447.406163,-1198.848408,1194.2081,1194.1926,26919.3133,27056.3186,0.0000,0.0000,,,0,0,524000,102.5
132,527900,1623.287660,1625.784558,-1209.643667,1203.8968,1203.9402,36682.4923,38084.6358,0.0000,0.0001,,,0,0,528000,103.4
133,531900,1679.475875,1676.078304,-1222.548252,1215.6904,1215.7005,61710.1598,61093.3885,0.0000,0.1475,,,0,0,532000,104.2
134,535900,1464.681316,1468.574936,-1233.287988,1226.4109,1226.3675,32980.9991,31539.2949,0.0000,0.0000,,,0,0,536000,105.0
135,539900,,,,,,,,,,,,0,0,540000,105.6
136,543900,1477.700337,1478.333999,-1244.366465,1237.8100,1237.8233,35300.9828,34086.2819,0.0000,0.0000,,,0,0,544000,106.5
137,547900,1459.137612,1459.149005,-1256.252944,1250.3667,1250.3651,34165.8848,32191.8106,0.0000,0.0000,,,0,0,548000,107.3
138,551900,1356.382363,1353.585616,-1269.584790,1262.8055,1262.8378,27982.3707,26041.4669,0.0000,0.0000,,,0,0,552000,108.1
139,555900,1577.989064,1579.352876,-1280.236147,1274.8702,1274.8686,42761.3272,42045.2771,0.0000,0.0000,,,0,0,556000,108.9
140,559900,,,,,,,,,,,,0,0,560000,109.6
141,563900,1510.590479,1509.309436,-1291.895532,1285.3910,1285.3962,51258.7964,49563.2574,0.0000,0.0000,,,0,0,564000,110.4
142,567900,1697.476550,1699.825814,-1302.137202,1296.4243,1296.4046,39042.3953,39351.1224,0.0000,0.0000,,,0,0,568000,111.2
143,571900,1295.271669,1292.918045,-1314.296045,1308.0275,1308.0676,48249.8801,44832.0773,0.0000,0.0000,,,0,0,572000,112.0
144,575900,1802.209599,1797.306849,-1325.528750,1318.6988,1318.6856,46375.0940,43756.4392,0.0000,0.0000,,,0,0,576000,112.9
145,579900,,,,,,,,,,,,0,0,580000,113.5
146,583900,1707.787144,1712.426721,-1336.893843,1330.4864,1330.4981,41308.9141,44173.1868,0.0000,0.0000,,,0,0,584000,114.3
147,587900,1892.903410,1896.585825,-1349.236699,1342.9186,1342.9184,37572.8232,37613.0328,0.0000,0.0000,,,0,0,588000,115.2
